Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
1,02001018,Pt JLNGMC and Hospital Chamba ,HIMACHAL PRADESH,CHAMBA,,,,9857785521,"M1,M7,M2,M3,M8,S1,S13,S16,S2,S3,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M1,M2,S8,M1,S7,M5,M6,S12,S14,S15,S4,S6,S8,S9,","M1, M7, M2, M3, M8, S1, S13, S16, S2, S3, S4, S5, S8, S7, M5, M6, S12, S14, S15, S6, S9"
2,02001019,Civil Hospital Dalhousie,HIMACHAL PRADESH,CHAMBA,,,,1899242125,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S3,","M1, M7, S1, S3"
3,02001020,Referral Hospital CHOWARI,HIMACHAL PRADESH,CHAMBA,,,,9805754440,"M1,S1,S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, S1, S16"
4,02001021,Civil Hospital Tissa,HIMACHAL PRADESH,CHAMBA,,,,1896227050,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
5,02001024,COMMUNITY HEALTH CENTRE Killar,HIMACHAL PRADESH,CHAMBA,,,,1897242246,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
6,02001025,COMMUNITY HEALTH CENTRE Kihar,HIMACHAL PRADESH,CHAMBA,,,,9805971525,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
7,02001030,Distt  Ayurvedic Hospital Chamba,HIMACHAL PRADESH,CHAMBA,,,,9459409212,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
8,02001033,COMMUNITY HEALTH CENTRE BHARMOUR,HIMACHAL PRADESH,CHAMBA,,,,1895225044,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
9,02002046,Zonal Hospital Dharamsala,HIMACHAL PRADESH,KANGRA,,,,7832040370,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"BM,ER,MM,MN,MP,SB,SE,SO,","M1, M7, S1, BM, ER, MM, MN, MP, SB, SE, SO"
10,02002047,RAJIV GANDHI AYURVEDIC COLLEGE HOSPITAL PAPROLA,HIMACHAL PRADESH,KANGRA,,,,9805330593,"M1,M7,M2,S1,S2,S3,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"SB,","M1, M7, M2, S1, S2, S3, S4, SB"
11,02002048,Civil Hospital Nurpur,HIMACHAL PRADESH,KANGRA,,,,9418522164,"M1,M7,M2,S1,S16,S2,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S3,S5,","M1, M7, M2, S1, S16, S2, S4, S3, S5"
12,02002049,Civil Hospital Dehra,HIMACHAL PRADESH,KANGRA,,,,8988908009,"S1,S16,S3,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","S1, S16, S3, S5, M1, M7"
13,02002050,Civil Hospital KANGRA,HIMACHAL PRADESH,KANGRA,,,,7018247682,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
14,02002051,Civil Hospital Baijnath,HIMACHAL PRADESH,KANGRA,,,,9218842611,"S2,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S2
15,02002052,Civil Hospital  THURAL,HIMACHAL PRADESH,KANGRA,,,,9418676487,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","S1, M1, M7"
16,02002053,COMMUNITY HEALTH CENTRE Jawalamukhi,HIMACHAL PRADESH,KANGRA,,,,1970222337,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
17,02002055,COMMUNITY HEALTH CENTRE Nagrota Bagwan,HIMACHAL PRADESH,KANGRA,,,,9418515610,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
18,02002056,COMMUNITY HEALTH CENTRE Jawali,HIMACHAL PRADESH,KANGRA,,,,9816641507,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
19,02002057,COMMUNITY HEALTH CENTRE Shahpur,HIMACHAL PRADESH,KANGRA,,,,7018409503,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
20,02002058,COMMUNITY HEALTH CENTRE Fatehpur,HIMACHAL PRADESH,KANGRA,,,,9418461239,"M2,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,M2
21,02002059,COMMUNTY HEALTH CENTRE Chadiyar,HIMACHAL PRADESH,KANGRA,,,,8988013363,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
22,02002060,COMMUNITY HEALTH CENTRE Dada Siba,HIMACHAL PRADESH,KANGRA,,,,9817578000,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
23,02002061,COMMUNITY HEALTH CENTRE Bhawarna,HIMACHAL PRADESH,KANGRA,,,,1894247158,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
24,02002062,PRIMARY HEALTH CENTRE Gopalpur,HIMACHAL PRADESH,KANGRA,,,,1894252226,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
25,02002063,Distt  Ayurvedic Hospital Dharmshala,HIMACHAL PRADESH,KANGRA,,,,7018220064,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
26,02002065,Ayurvedic Hospital Dehra,HIMACHAL PRADESH,KANGRA,,,,9816818767,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,","M1, M7, S1"
27,02002066,Ayurvedic Hospital Harsar,HIMACHAL PRADESH,KANGRA,,,,9816446493,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
28,02002070,Dr RPMC Hospital Tanda,HIMACHAL PRADESH,KANGRA,,,,1892287001,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"BM,ER,ID,IN,NA,OT,TG,","M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9, BM, ER, ID, IN, NA, OT, TG"
29,02002071,Civil Hospital Palampur,HIMACHAL PRADESH,KANGRA,,,,9418840344,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
30,02002072,COMMUNITY HEALTH CENTRE Nagrota Surian,HIMACHAL PRADESH,KANGRA,,,,9418620212,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
31,02002087,COMMUNITY HEALTH CENTRE Indora,HIMACHAL PRADESH,KANGRA,,,,8894010069,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
32,02002088,Halderkola ayurvedic Hospital  Kangra,HIMACHAL PRADESH,KANGRA,,,,7018487752,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
33,02003007,COMMUNITY HEALTH CENTRE Shansha,HIMACHAL PRADESH,Lahul & Spiti,,,,7018293270,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
34,02003008,COMMUNITY HEALTH CENTRE KAZA,HIMACHAL PRADESH,Lahul & Spiti,,,,9459707272,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
35,02003009,PRIMARY HAELTH CENTRE Tabo,HIMACHAL PRADESH,Lahul & Spiti,,,,9418206208,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
36,02003010,Distt  Ayurvedic  HospitalKeylong,HIMACHAL PRADESH,Lahul & Spiti,,,,9015198206,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
37,02003011,REGIONAL HOSPITAL KEYLONG,HIMACHAL PRADESH,Lahul & Spiti,,,,9459723567,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
38,02003012,COMMUNITY HEALTH CENTRE UDAYPUR,HIMACHAL PRADESH,Lahul & Spiti,,,,8351960658,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
39,02004019,REGIONAL HOSPITAL KULLU,HIMACHAL PRADESH,KULLU,,,,9418118003,"S1,S2,S3,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"S1, S2, S3"
40,02004020,Civil Hospital Banjaar,HIMACHAL PRADESH,KULLU,,,,8219623795,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
41,02004021,Civil Hospital Nirmand,HIMACHAL PRADESH,KULLU,,,,9418476604,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
