Hospital Name,State,District
Pt JLNGMC and Hospital Chamba ,HIMACHAL PRADESH,CHAMBA
Civil Hospital Dalhousie,HIMACHAL PRADESH,CHAMBA
Referral Hospital CHOWARI,HIMACHAL PRADESH,CHAMBA
Civil Hospital Tissa,HIMACHAL PRADESH,CHAMBA
COMMUNITY HEALTH CENTRE Killar,HIMACHAL PRADESH,CHAMBA
COMMUNITY HEALTH CENTRE Kihar,HIMACHAL PRADESH,CHAMBA
Distt  Ayurvedic Hospital Chamba,HIMACHAL PRADESH,CHAMBA
COMMUNITY HEALTH CENTRE BHARMOUR,HIMACHAL PRADESH,CHAMBA
Zonal Hospital Dharamsala,HIMACHAL PRADESH,KANGRA
RAJIV GANDHI AYURVEDIC COLLEGE HOSPITAL PAPROLA,HIMACHAL PRADESH,KANGRA
Civil Hospital Nurpur,HIMACHAL PRADESH,KANGRA
Civil Hospital Dehra,HIMACHAL PRADESH,KANGRA
Civil Hospital KANGRA,HIMACHAL PRADESH,KANGRA
Civil Hospital Baijnath,HIMACHAL PRADESH,KANGRA
Civil Hospital  THURAL,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Jawalamukhi,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Nagrota Bagwan,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Jawali,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Shahpur,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Fatehpur,HIMACHAL PRADESH,KANGRA
COMMUNTY HEALTH CENTRE Chadiyar,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Dada Siba,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Bhawarna,HIMACHAL PRADESH,KANGRA
PRIMARY HEALTH CENTRE Gopalpur,HIMACHAL PRADESH,KANGRA
Distt  Ayurvedic Hospital Dharmshala,HIMACHAL PRADESH,KANGRA
Ayurvedic Hospital Dehra,HIMACHAL PRADESH,KANGRA
Ayurvedic Hospital Harsar,HIMACHAL PRADESH,KANGRA
Dr RPMC Hospital Tanda,HIMACHAL PRADESH,KANGRA
Civil Hospital Palampur,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Nagrota Surian,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Indora,HIMACHAL PRADESH,KANGRA
Halderkola ayurvedic Hospital  Kangra,HIMACHAL PRADESH,KANGRA
COMMUNITY HEALTH CENTRE Shansha,HIMACHAL PRADESH,Lahul & Spiti
COMMUNITY HEALTH CENTRE KAZA,HIMACHAL PRADESH,Lahul & Spiti
PRIMARY HAELTH CENTRE Tabo,HIMACHAL PRADESH,Lahul & Spiti
Distt  Ayurvedic  HospitalKeylong,HIMACHAL PRADESH,Lahul & Spiti
REGIONAL HOSPITAL KEYLONG,HIMACHAL PRADESH,Lahul & Spiti
COMMUNITY HEALTH CENTRE UDAYPUR,HIMACHAL PRADESH,Lahul & Spiti
REGIONAL HOSPITAL KULLU,HIMACHAL PRADESH,KULLU
Civil Hospital Banjaar,HIMACHAL PRADESH,KULLU
Civil Hospital Nirmand,HIMACHAL PRADESH,KULLU
Civil Hospital Anni,HIMACHAL PRADESH,KULLU
COMMUNITY HEALTH CENTER,HIMACHAL PRADESH,KULLU
Civil Hospital Manali,HIMACHAL PRADESH,KULLU
Ayurvedic  Hospital  katrai,HIMACHAL PRADESH,KULLU
District Ayurvedic Hospital Kullu,HIMACHAL PRADESH,KULLU
CIVIL HOSPITAL SUNDERNAGAR,HIMACHAL PRADESH,MANDI
CIVIL HOSPITAL KARSOG,HIMACHAL PRADESH,MANDI
Civil hospital Joginder nagar,HIMACHAL PRADESH,MANDI
Referal hospital Sarkaghat,HIMACHAL PRADESH,MANDI
Civil hospital Sandole,HIMACHAL PRADESH,MANDI
Primary Health Centre Pdher,HIMACHAL PRADESH,MANDI
Primary Health Centre Kotli,HIMACHAL PRADESH,MANDI
CIVIL  HOSPITAL  GOHAR,HIMACHAL PRADESH,MANDI
Primary Health Centre Baldavada,HIMACHAL PRADESH,MANDI
Primary Health Centre Ratti,HIMACHAL PRADESH,MANDI
Primary Health Centre Bhagshad,HIMACHAL PRADESH,MANDI
Primary Health Centre Dharampur,HIMACHAL PRADESH,MANDI
Primary Health Centre Janjali,HIMACHAL PRADESH,MANDI
Distt  Ayurvedic  Hospital Mandi,HIMACHAL PRADESH,MANDI
Ayurvedic  Hospital  Joginder nagar,HIMACHAL PRADESH,MANDI
CH NAGWAIN,HIMACHAL PRADESH,MANDI
NETAJI SUBHASH CHANDER BOSE ZONAL HOSPITAL MANDI,HIMACHAL PRADESH,MANDI
COMMUNITY HEALTH CENTRE Naduan,HIMACHAL PRADESH,HAMIRPUR
COMMUNITY HEALTH CENTRE Galore,HIMACHAL PRADESH,HAMIRPUR
Distt  Ayurvedic  Hospital HAMIRPUR,HIMACHAL PRADESH,HAMIRPUR
COMMUNITY HEALTH CENTRE Bhoranj,HIMACHAL PRADESH,HAMIRPUR
REGIONAL HOSPITAL HAMIRPUR,HIMACHAL PRADESH,HAMIRPUR
CIVIL HOSPITAL TAUNI DEVI,HIMACHAL PRADESH,HAMIRPUR
